numero_estrelas,perguntas_relacionadas
314985,2150
251753,48
172897,2450
160085,100
156407,1100
148733,1250
144304,2200
141417,1392
135570,147
127727,2000
127164,368
116661,900
111685,0
108252,1500
107660,350
103710,1100
101996,1850
99949,2900
98017,2250
96897,3250
93821,144
93094,0
90300,0
88639,0
87072,0
86056,0
86017,0
83138,0
82252,0
81546,0
80469,0
77331,0
76875,0
73199,0
71104,0
70328,0
70085,0
68100,0
67950,0
67573,0
66542,0
66343,0
66272,0
65343,0
64571,0
63985,0
63661,0
63637,0
62780,0
62199,0
61624,0
61210,0
60815,0
60117,0
59502,0
59472,0
58369,0
57789,0
56543,0
55702,0
55636,0
54354,0
54004,0
53676,0
53614,0
53585,0
53167,0
53084,0
52832,0
52119,0
52114,0
51339,0
50781,0
50750,0
50734,0
50501,0
50391,0
50240,0
49833,0
49664,0
49051,0
48666,0
48628,0
48520,0
48486,0
48437,0
48330,0
48169,0
47847,0
47540,0
47522,0
47392,0
47365,0
47060,0
46832,0
46815,0
46738,0
46614,0
46531,0
46234,0
46142,0
45334,0
45231,0
45027,0
44956,0
44871,0
44221,0
43875,0
43602,0
43553,0
43499,0
43071,0
42987,0
42898,0
42665,0
42566,0
42402,0
41952,0
41896,0
41816,0
41715,0
41381,0
41296,0
41252,0
41090,0
41039,0
40822,0
40702,0
40685,0
39443,0
39442,0
39325,0
39314,0
39282,0
39211,0
39020,0
38881,0
38873,0
38854,0
38672,0
38671,0
38341,0
38316,0
38196,0
38019,0
37998,0
37779,0
37752,0
37548,0
37500,0
37485,0
37471,0
37404,0
37301,0
37256,0
37231,0
36832,0
36747,0
36734,0
36701,0
36614,0
36494,0
36390,0
36237,0
36206,0
36184,0
35888,0
35715,0
35685,0
35612,0
35589,0
35466,0
35282,0
35105,0
35078,0
35047,0
35025,0
34971,0
34491,0
34391,0
34191,0
34172,0
34161,0
33902,0
33829,0
33828,0
33703,0
33675,0
33644,0
33444,0
33420,0
33268,0
33223,0
33075,0
33073,0
32950,0
32914,0
32895,0
32778,0
32535,0
32462,0
32279,0
32123,0
31947,0
31945,0
31927,0
31765,0
31672,0
31636,0
31635,0
31566,0
31333,0
31191,0
31116,0
31045,0
30994,0
30886,0
30883,0
30832,0
30824,0
30794,0
30744,0
30681,0
30681,0
30481,0
30468,0
30344,0
30271,0
30248,0
30200,0
30199,0
30184,0
30172,0
30162,0
30073,0
29953,0
29940,0
29926,0
29817,0
29742,0
29672,0
29558,0
29541,0
29470,0
29314,0
29267,0
29238,0
29029,0
28948,0
28782,0
28727,0
28563,0
28511,0
28481,0
28377,0
28324,0
28284,0
28190,0
28121,0
27955,0
27885,0
27858,0
27739,0
27706,0
27695,0
27674,0
27666,0
27655,0
27652,0
27554,0
27463,0
27391,0
27380,0
27345,0
27328,0
27242,0
27215,0
27200,0
27175,0
27043,0
26996,0
26991,0
26944,0
26937,0
26884,0
26795,0
26738,0
26718,0
26657,0
26589,0
26541,0
26395,0
26348,0
26305,0
26254,0
26208,0
26141,0
26083,0
26015,0
25914,0
25852,0
25846,0
25770,0
25684,0
25668,0
25651,0
25619,0
25557,0
25545,0
25539,0
25471,0
25456,0
25383,0
25348,0
25294,0
25278,0
25269,0
25200,0
25167,0
25142,0
25080,0
25011,0
24983,0
24936,0
24910,0
24892,0
24825,0
24823,0
24819,0
24810,0
24805,0
24773,0
24728,0
24727,0
24697,0
24658,0
24636,0
24547,0
24547,0
24544,0
24383,0
24367,0
24329,0
24266,0
24197,0
24191,0
24165,0
24138,0
24054,0
24027,0
24013,0
24005,0
23934,0
23925,0
23898,0
23857,0
23859,0
23809,0
23799,0
23784,0
23713,0
23692,0
23690,0
23686,0
23678,0
23609,0
23586,0
23532,0
23520,0
23514,0
23464,0
23331,0
23320,0
23311,0
23294,0
23230,0
23214,0
23111,0
23097,0
23096,0
23085,0
23065,0
23032,0
23029,0
22981,0
22977,0
22961,0
22936,0
22908,0
22871,0
22857,0
22849,0
22841,0
22822,0
22799,0
22734,0
22631,0
22626,0
22575,0
22552,0
22473,0
22449,0
22425,0
22424,0
22363,0
22343,0
22285,0
22284,0
22262,0
22212,0
22212,0
22160,0
22154,0
22099,0
22082,0
22082,0
22064,0
22030,0
21995,0
21965,0
21900,0
21878,0
21857,0
21846,0
21834,0
21775,0
21763,0
21759,0
21719,0
21713,0
21687,0
21679,0
21675,0
21643,0
21641,0
21633,0
21625,0
21620,0
21596,0
21559,0
21554,0
21517,0
21516,0
21512,0
21454,0
21416,0
21404,0
21370,0
21312,0
21296,0
21295,0
21280,0
21167,0
21116,0
21106,0
21086,0
21085,0
21048,0
21019,0
21000,0
20989,0
20983,0
20983,0
20975,0
20953,0
20905,0
20884,0
20878,0
20860,0
20847,0
20832,0
20816,0
20803,0
20800,0
20791,0
20784,0
20747,0
20686,0
20648,0
20625,0
20609,0
20551,0
20536,0
20487,0
20419,0
20406,0
20394,0
20385,0
20376,0
20374,0
20369,0
20334,0
20313,0
20312,0
20242,0
20239,0
20230,0
20226,0
20197,0
20131,0
20072,0
20056,0
20054,0
20051,0
20035,0
20027,0
20009,0
19989,0
19982,0
19973,0
19943,0
19939,0
19913,0
19865,0
19854,0
19838,0
19823,0
19790,0
19769,0
19754,0
19729,0
19715,0
19680,0
19645,0
19629,0
19623,0
19619,0
19580,0
19572,0
19564,0
19549,0
19532,0
19527,0
19526,0
19500,0
19472,0
19465,0
19440,0
19425,0
19398,0
19390,0
19381,0
19367,0
19344,0
19322,0
19314,0
19299,0
19287,0
19268,0
19254,0
19254,0
19221,0
19216,0
19191,0
19177,0
19162,0
19151,0
19151,0
19149,0
19130,0
19109,0
19097,0
19069,0
19064,0
19064,0
19037,0
19034,0
19031,0
19001,0
18981,0
18967,0
18963,0
18959,0
18935,0
18922,0
18880,0
18861,0
18857,0
18850,0
18845,0
18825,0
18814,0
18814,0
18809,0
18809,0
18758,0
18750,0
18732,0
18728,0
18725,0
18709,0
18707,0
18676,0
18667,0
18643,0
18637,0
18636,0
18617,0
18599,0
18595,0
18587,0
18579,0
18573,0
18566,0
18566,0
18553,0
18535,0
18527,0
18494,0
18492,0
18454,0
18439,0
18423,0
18409,0
18344,0
18343,0
18325,0
18325,0
18319,0
18318,0
18301,0
18285,0
18276,0
18270,0
18226,0
18172,0
18166,0
18165,0
18163,0
18149,0
18143,0
18133,0
18126,0
18116,0
18114,0
18106,0
18097,0
18075,0
18052,0
17981,0
17961,0
17956,0
17954,0
17946,0
17933,0
17932,0
17903,0
17901,0
17897,0
17886,0
17830,0
17829,0
17827,0
17817,0
17814,0
17813,0
17812,0
17808,0
17801,0
17795,0
17744,0
17724,0
17724,0
17708,0
17704,0
17679,0
17672,0
17672,0
17658,0
17554,0
17467,0
17462,0
17445,0
17439,0
17437,0
17430,0
17411,0
17374,0
17341,0
17340,0
17332,0
17331,0
17330,0
17325,0
17314,0
17263,0
17255,0
17255,0
17236,0
17229,0
17224,0
17217,0
17206,0
17205,0
17195,0
17195,0
17157,0
17151,0
17140,0
17113,0
17103,0
17086,0
17083,0
17073,0
17070,0
17068,0
17049,0
17020,0
16965,0
16954,0
16920,0
16918,0
16905,0
16870,0
16868,0
16859,0
16851,0
16851,0
16847,0
16816,0
16813,0
16804,0
16773,0
16768,0
16749,0
16747,0
16743,0
16722,0
16714,0
16694,0
16670,0
16669,0
16666,0
16635,0
16622,0
16577,0
16576,0
16569,0
16563,0
16549,0
15663,0
15653,0
15647,0
15637,0
15615,0
15615,0
15610,0
15609,0
15579,0
15567,0
15563,0
15549,0
15517,0
15509,0
15503,0
15497,0
15492,0
15478,0
15457,0
15443,0
16091,0
16080,0
16075,0
16073,0
16069,0
16058,0
16047,0
16043,0
16042,0
16036,0
15994,0
15980,0
15931,0
15925,0
15895,0
15873,0
15869,0
15859,0
15854,0
15840,0
15826,0
15825,0
15821,0
15809,0
15806,0
15770,0
15771,0
15745,0
15727,0
15720,0
15717,0
15714,0
15703,0
15678,0
15674,0
15663,0
15653,0
15647,0
15637,0
15615,0
15615,0
15610,0
15609,0
15579,0
15567,0
15563,0
15549,0
15517,0
15509,0
15503,0
15497,0
15492,0
15478,0
15457,0
15443,0
15439,0
15420,0
15413,0
15411,0
15401,0
15387,0
15338,0
15337,0
15333,0
15327,0
15310,0
15310,0
15306,0
15248,0
15246,0
15245,0
15241,0
15231,0
15224,0
15223,0
15220,0
15193,0
15180,0
15175,0
15175,0
15174,0
15146,0
15140,0
15139,0
15137,0
15121,0
15096,0
15093,0
15073,0
15064,0
15056,0
15031,0
15019,0
15016,0
15003,0
14996,0
14967,0
14945,0
14943,0
14934,0
14924,0
14924,0
14914,0
14903,0
14898,0
14892,0
14891,0
14881,0
14880,0
14867,0
14866,0
14860,0
14854,0
14850,0
14846,0
14834,0
14832,0
14827,0
14826,0
14819,0
14816,0
14812,0
14810,0
14791,0
14769,0
14769,0
14760,0
14744,0
14738,0
14719,0
14712,0
14695,0
14692,0
14692,0
14678,0
14664,0
14659,0
14655,0
14648,0
14636,0
14611,0
14606,0
14604,0
14601,0
14600,0
14589,0
14574,0
14570,0
14568,0
14556,0
14534,0
14528,0
14527,0
14522,0
14517,0
14507,0
14500,0
14500,0
14499,0
14493,0
14469,0
14462,0
14457,0
14434,0
14428,0
14416,0
14408,0
14398,0
14352,0
14352,0
14332,0
14310,0
14306,0
14301,0
14287,0
14276,0
14270,0
14267,0
14264,0
14262,0
14259,0
14259,0
14251,0
14251,0
14242,0
14239,0
14213,0
14210,0
14197,0
14187,0
14179,0
14168,0
14164,0
14162,0
14155,0
14147,0
14145,0
14124,0
14123,0
14119,0
14098,0
14092,0
14091,0
14015,0
14008,0
14005,0
14004,0
13995,0
13991,0
13991,0
13966,0
13958,0
13952,0
13945,0
13933,0
13931,0
13931,0
13908,0
13907,0
13894,0
13893,0
13887,0
13885,0
13881,0
13866,0
13863,0
13860,0
13857,0
13845,0
13844,0
13813,0
13812,0
13811,0
13801,0
13788,0
13784,0
13782,0
13778,0
13769,0
13764,0
